"";"x"
"1";"Cape Verde"
"2";"Cote d'Ivoire"
"3";"Ghana"
"4";"Liberia"
"5";"Burkina Faso"
"6";"Guinea"
"7";"Guinea-Bissau"
"8";"Mali"
"9";"Senegal"
"10";"Sierra Leone"
"11";"The Gambia"
"12";"Djibouti"
"13";"Eritrea"
"14";"Ethiopia"
"15";"Algeria"
"16";"Cameroon"
"17";"Central African Republic"
"18";"Tunisia"
"19";"Benin"
"20";"Equatorial Guinea"
"21";"Niger"
"22";"Nigeria"
"23";"Sao Tome and Principe"
"24";"Togo"
"25";"Somalia"
"26";"Botswana"
"27";"Burundi"
"28";"Rwanda"
"29";"Zambia"
"30";"Zimbabwe"
"31";"Comoros"
"32";"Lesotho"
"33";"Malawi"
"34";"Mozambique"
"35";"South Africa"
"36";"Swaziland"
"37";"Angola"
"38";"Congo"
"39";"Congo, DRC"
"40";"Gabon"
"41";"Namibia"
"42";"Madagascar"
"43";"Mauritius"
"44";"Seychelles"
"45";"Libya"
"46";"Chad"
"47";"Egypt"
"48";"Uganda"
"49";"Kenya"
"50";"Tanzania"
"51";"Morocco"
"52";"Mauritania"
"53";"Sudan"
"54";"South Sudan"
