"","MSE_OPF_SE","MSE_OPF_TADDA1","MSE_No_Change","MTADDA1_OPF_SE","MTADDA1_OPF_TADDA1","MTADDA1_No_Change"
"1",1.151,1.151,1.151,0.427,0.427,0.427
"2",0.97,0.97,1.151,0.438,0.438,0.427
"3",0.914,1.016,1.151,0.433,0.428,0.427
"4",0.89,0.959,1.151,0.434,0.427,0.427
"5",0.877,0.976,1.151,0.433,0.416,0.427
"6",0.868,0.969,1.151,0.434,0.427,0.427
"7",0.861,0.971,1.151,0.435,0.421,0.427
"8",0.854,0.977,1.151,0.434,0.425,0.427
"9",0.846,0.995,1.151,0.434,0.429,0.427
"10",0.838,0.986,1.151,0.432,0.428,0.427
"11",0.832,0.978,1.151,0.431,0.422,0.427
"12",0.829,0.967,1.151,0.431,0.423,0.427
"13",0.83,0.958,1.151,0.433,0.418,0.427
"14",0.834,0.96,1.151,0.434,0.421,0.427
"15",0.838,0.966,1.151,0.437,0.42,0.427
"16",0.843,0.972,1.151,0.439,0.424,0.427
"17",0.846,0.969,1.151,0.44,0.42,0.427
